date,open,high,low,close,volume,ticker,arithmetic_return,geometric_return
1999-11-01,136.5,137.0,135.5625,135.5625,4006500.0,SPY,,
1999-11-02,135.9687,137.25,134.5937,134.5937,6516900.0,SPY,-0.007146519133241047,-0.007172177821052932
1999-11-03,136.0,136.375,135.125,135.5,7222300.0,SPY,0.006733598972314292,0.0067110295537153
1999-11-04,136.75,137.3593,135.7656,136.5312,7907500.0,SPY,0.007610332103321182,0.007581519615361311
1999-11-05,138.625,139.1093,136.7812,137.875,7431500.0,SPY,0.009842438944358323,0.009794317638549608
1999-11-08,137.0,138.375,136.75,138.0,4649200.0,SPY,0.0009066183136898776,0.0009062075835380904
1999-11-09,138.5,138.6875,136.2812,136.7031,4533700.0,SPY,-0.009397826086956496,-0.009442264288671908
1999-11-10,136.25,138.3906,136.0781,137.7187,6405600.0,SPY,0.007429238985802167,0.007401778114891736
1999-11-11,138.1875,138.5,137.4687,138.5,4794100.0,SPY,0.005673158401872769,0.005657126643968752
1999-11-12,139.25,139.9843,137.125,139.75,11802900.0,SPY,0.00902527075812265,0.008984786407815257
1999-11-15,139.8437,140.25,139.4062,140.0781,2187500.0,SPY,0.0023477638640430065,0.0023450121725020886
1999-11-16,140.5625,143.0,140.0937,141.25,7544800.0,SPY,0.008366047226511464,0.008331245818839737
1999-11-17,142.25,142.9375,141.3125,141.625,9459000.0,SPY,0.0026548672566371057,0.00265134932162
1999-11-18,142.4375,143.0,141.625,142.625,4491000.0,SPY,0.007060900264783676,0.007036088834069241
1999-11-19,142.4062,142.9687,142.0,142.5,4832100.0,SPY,-0.0008764241893076674,-0.0008768084735345369
1999-11-22,142.4375,143.0,141.5,142.4687,4155400.0,SPY,-0.00021964912280691973,-0.0002196732492084546
1999-11-23,142.8437,142.8437,140.375,141.2187,5918000.0,SPY,-0.008773856994553908,-0.008812573908639107
1999-11-24,140.75,142.4375,140.0,141.9687,4459700.0,SPY,0.005310911373635374,0.005296858218574474
1999-11-26,142.4687,142.875,141.25,141.4375,1693900.0,SPY,-0.0037416698187699993,-0.0037486873756759852
1999-11-29,140.875,141.9218,140.4375,140.9375,7348600.0,SPY,-0.0035351303579319593,-0.0035413936967586632
1999-11-30,140.75,142.3125,139.0,139.2812,7682000.0,SPY,-0.0117520177383591,-0.011821618536097474
1999-12-01,139.3125,140.5,139.0,140.4062,6980200.0,SPY,0.00807718486055542,0.008044738999966355
1999-12-02,140.625,141.375,140.375,141.25,6698300.0,SPY,0.006009706124088465,0.00599171986568393
1999-12-03,143.0312,145.3437,143.0312,143.8437,10045400.0,SPY,0.01836247787610623,0.01819592339151249
1999-12-06,143.5312,143.7187,142.25,142.7812,3138900.0,SPY,-0.007386489641186933,-0.007413904840615474
1999-12-07,143.2812,143.3125,141.375,141.625,10714200.0,SPY,-0.00809770473983984,-0.008130669229277063
1999-12-08,141.3437,142.0625,140.5,140.7187,4611400.0,SPY,-0.0063992939099734025,-0.006419857165064732
1999-12-09,141.8125,142.2187,139.375,141.4062,6474700.0,SPY,0.004885633536978462,0.004873737559971759
1999-12-10,142.2812,142.8125,140.875,141.875,5127300.0,SPY,0.0033152718904827516,0.0033097884925897803
1999-12-13,141.4375,142.7187,141.2812,142.125,4210800.0,SPY,0.0017621145374449032,0.001760563835032959
1999-12-14,141.625,142.4843,140.625,140.75,5739000.0,SPY,-0.009674582233949014,-0.009721685050900373
1999-12-15,140.375,142.2031,140.0312,141.5,6879100.0,SPY,0.005328596802841812,0.005314450063492446
1999-12-16,142.1875,142.6562,141.1562,142.125,5854900.0,SPY,0.004416961130742081,0.004407234987407827
1999-12-17,143.0,143.3125,142.0625,142.6875,4775400.0,SPY,0.003957783641160839,0.003949972219314069
1999-12-20,142.5625,143.1875,141.0937,141.6562,4608700.0,SPY,-0.0072276828734121334,-0.007253929116083762
1999-12-21,141.5937,144.0625,141.3437,143.8125,7981300.0,SPY,0.015222065818509822,0.015107372621654094
1999-12-22,143.625,144.1875,142.9687,144.1875,5377500.0,SPY,0.0026075619295957697,0.0026041681383877297
1999-12-23,145.0156,146.4843,145.0,146.4843,5721700.0,SPY,0.015929258777633182,0.0158037195448361
1999-12-27,146.5,146.7812,145.0625,146.2812,2691000.0,SPY,-0.0013864967098861092,-0.0013874587858289488
